[09/16/21 03:53:11] [INFO] received Windows console close event; shutting log-core down
[09/16/21 03:58:21] [INFO] received Windows console close event; shutting log-core down
[09/16/21 04:02:41] [INFO] received Windows console close event; shutting log-core down
[09/16/21 04:05:33] [INFO] received Windows console close event; shutting log-core down
[09/16/21 04:09:07] [INFO] received Windows console close event; shutting log-core down
[09/16/21 04:12:25] [INFO] received Windows console close event; shutting log-core down
[09/16/21 04:14:54] [INFO] received Windows console close event; shutting log-core down
[09/16/21 04:17:12] [INFO] received Windows console close event; shutting log-core down
[09/16/21 04:24:22] [INFO] received Windows console close event; shutting log-core down
[09/16/21 04:37:07] [INFO] received Windows console close event; shutting log-core down
[09/16/21 04:41:29] [INFO] received Windows console close event; shutting log-core down
[09/16/21 17:48:44] [INFO] received Windows console close event; shutting log-core down
[09/16/21 20:00:24] [INFO] received Windows console close event; shutting log-core down
[09/16/21 20:30:44] [INFO] received Windows console close event; shutting log-core down
[09/16/21 20:30:44] [INFO] received Windows console close event; shutting log-core down
[09/16/21 20:40:18] [INFO] received Windows console close event; shutting log-core down
[09/16/21 23:23:17] [INFO] received Windows console close event; shutting log-core down
[09/17/21 00:00:33] [INFO] received Windows console close event; shutting log-core down
[09/17/21 00:04:34] [INFO] received Windows console close event; shutting log-core down
[09/17/21 00:06:35] [INFO] received Windows console close event; shutting log-core down
[09/17/21 00:08:17] [INFO] received Windows console close event; shutting log-core down
[09/17/21 00:11:22] [INFO] received Windows console close event; shutting log-core down
[09/17/21 00:20:14] [INFO] received Windows console close event; shutting log-core down
[09/17/21 00:32:37] [INFO] received Windows console close event; shutting log-core down
[09/17/21 00:37:52] [INFO] received Windows console close event; shutting log-core down
[09/17/21 01:48:43] [INFO] received Windows console close event; shutting log-core down
[09/18/21 13:59:40] [INFO] received Windows console close event; shutting log-core down
[09/18/21 17:08:53] [INFO] received Windows console close event; shutting log-core down
[09/18/21 18:08:50] [INFO] received Windows console close event; shutting log-core down
[09/18/21 19:32:15] [INFO] received Windows console close event; shutting log-core down
[09/24/21 01:38:16] [INFO] received Windows console close event; shutting log-core down
[09/24/21 01:41:21] [INFO] received Windows console close event; shutting log-core down
[09/24/21 01:44:38] [INFO] received Windows console close event; shutting log-core down
[09/25/21 00:57:40] [INFO] received Windows console close event; shutting log-core down
[09/25/21 01:00:38] [INFO] received Windows console close event; shutting log-core down
[09/25/21 01:13:10] [INFO] received Windows console close event; shutting log-core down
[09/25/21 01:19:23] [INFO] received Windows console close event; shutting log-core down
[09/25/21 22:48:21] [INFO] received Windows console close event; shutting log-core down
[09/26/21 11:44:30] [INFO] received Windows console close event; shutting log-core down
[09/26/21 15:35:59] [INFO] received Windows console close event; shutting log-core down
[09/26/21 15:44:48] [INFO] received Windows console close event; shutting log-core down
[09/26/21 15:47:21] [INFO] received Windows console close event; shutting log-core down
[09/26/21 15:58:32] [INFO] received Windows console close event; shutting log-core down
[09/26/21 16:13:27] [INFO] received Windows console close event; shutting log-core down
[09/26/21 16:22:15] [INFO] received Windows console close event; shutting log-core down
[09/26/21 16:25:32] [INFO] received Windows console close event; shutting log-core down
[09/26/21 16:46:35] [INFO] received Windows console close event; shutting log-core down
[09/26/21 16:56:25] [INFO] received Windows console close event; shutting log-core down
[09/26/21 17:02:48] [INFO] received Windows console close event; shutting log-core down
[10/01/21 07:14:38] [INFO] received Windows console close event; shutting log-core down
[10/07/21 11:45:50] [INFO] received Windows console close event; shutting log-core down
[10/07/21 11:46:05] [INFO] received Windows console close event; shutting log-core down
[10/07/21 11:47:21] [INFO] received Windows console close event; shutting log-core down
[10/07/21 11:50:37] [INFO] received Windows console close event; shutting log-core down
[10/07/21 11:53:25] [INFO] received Windows console close event; shutting log-core down
[10/07/21 11:56:39] [INFO] received Windows console close event; shutting log-core down
[10/07/21 12:03:29] [INFO] received Windows console close event; shutting log-core down
[10/07/21 12:07:41] [INFO] received Windows console close event; shutting log-core down
[10/07/21 18:51:36] [INFO] received Windows console close event; shutting log-core down
[10/07/21 19:00:35] [INFO] received Windows console close event; shutting log-core down
[10/07/21 19:18:41] [INFO] received Windows console close event; shutting log-core down
[10/07/21 19:22:29] [INFO] received Windows console close event; shutting log-core down
[10/07/21 19:38:10] [INFO] received Windows console close event; shutting log-core down
[10/07/21 19:43:27] [INFO] received Windows console close event; shutting log-core down
[10/07/21 19:50:25] [INFO] received Windows console close event; shutting log-core down
[10/07/21 23:02:12] [INFO] received Windows console close event; shutting log-core down
[10/16/21 09:41:36] [INFO] received Windows console close event; shutting log-core down
[10/16/21 09:45:26] [INFO] received Windows console close event; shutting log-core down
[10/16/21 09:48:53] [INFO] received Windows console close event; shutting log-core down
[10/16/21 10:05:53] [INFO] received Windows console close event; shutting log-core down
[10/16/21 10:05:54] [INFO] received Windows console close event; shutting log-core down
[10/16/21 10:09:49] [INFO] received Windows console close event; shutting log-core down
[10/16/21 10:59:59] [INFO] received Windows console close event; shutting log-core down
[10/16/21 11:03:06] [INFO] received Windows console close event; shutting log-core down
[10/16/21 11:04:47] [INFO] received Windows console close event; shutting log-core down
[10/16/21 11:11:30] [INFO] received Windows console close event; shutting log-core down
[10/16/21 11:33:31] [INFO] received Windows console close event; shutting log-core down
[10/16/21 17:43:52] [INFO] received Windows console close event; shutting log-core down
[10/16/21 17:53:00] [INFO] received Windows console close event; shutting log-core down
[10/16/21 17:58:01] [INFO] received Windows console close event; shutting log-core down
[10/16/21 18:21:33] [INFO] received Windows console close event; shutting log-core down
[10/16/21 18:23:38] [INFO] received Windows console close event; shutting log-core down
[10/16/21 19:09:44] [INFO] received Windows console close event; shutting log-core down
[10/16/21 19:13:43] [INFO] received Windows console close event; shutting log-core down
[10/16/21 19:18:43] [INFO] received Windows console close event; shutting log-core down
[10/16/21 19:20:13] [INFO] received Windows console close event; shutting log-core down
